name,risk_pct,rr,atr_sl,time_exit,cooldown,allowed_hours,blocked_days,return_pct,net_profit,total_trades,win_rate,profit_factor,max_drawdown_pct,avg_r_multiple,max_consecutive_losses
R3_RR3.0_SL2.0_TE120_CD4_BH9_BD2,3,3.0,2.0,120,4,"[8, 10, 11, 12, 13]",[2],1849.45,184945.41,377,46.95,1.81,13.8,0.3145,13
R5_RR3.0_SL2.0_TE120_CD0_BH89_BD2,5,3.0,2.0,120,0,"[10, 11, 12, 13]",[2],1843.07,184306.72,321,46.73,1.58,18.43,0.2448,9
R7_RR3.5_SL1.5_TE120_CD4_BH89_BD24,7,3.5,1.5,120,4,"[10, 11, 12, 13]","[2, 4]",1805.23,180522.78,220,47.27,1.91,24.27,0.2504,10
R5_RR2.5_SL2.5_TE360_CD2_BH9_BD24,5,2.5,2.5,360,2,"[8, 10, 11, 12, 13]","[2, 4]",1803.86,180386.12,281,39.15,1.56,26.65,0.2974,11
R3_RR3.5_SL1.5_TE210_CD2_BH913_BD2,3,3.5,1.5,210,2,"[8, 10, 11, 12]",[2],1802.73,180273.2,308,36.36,2.2,12.69,0.4108,18
R7_RR2.0_SL1.5_TE0_CD0_BH913_BD2,7,2.0,1.5,0,0,"[8, 10, 11, 12]",[2],1800.34,180034.23,313,42.49,1.65,24.7,0.2049,16
R7_RR2.0_SL2.0_TE210_CD4_BHnone_BD24,7,2.0,2.0,210,4,all,"[2, 4]",1798.66,179866.38,323,43.03,1.51,29.95,0.1936,11
R5_RR2.5_SL1.5_TE0_CD2_BHnone_BD24,5,2.5,1.5,0,2,all,"[2, 4]",1796.91,179690.79,338,37.28,1.69,22.52,0.2461,16
R5_RR3.5_SL2.0_TE210_CD0_BHnone_BD24,5,3.5,2.0,210,0,all,"[2, 4]",1794.28,179427.76,355,36.34,1.63,23.5,0.2707,17
R5_RR2.0_SL1.5_TE120_CD4_BH9_BDnone,5,2.0,1.5,120,4,"[8, 10, 11, 12, 13]",[],1794.26,179425.98,447,44.74,1.48,18.15,0.1743,18
R3_RR3.0_SL2.0_TE360_CD2_BH9_BD24,3,3.0,2.0,360,2,"[8, 10, 11, 12, 13]","[2, 4]",1791.52,179151.72,285,37.19,1.93,17.27,0.423,11
R3_RR2.0_SL2.0_TE210_CD4_BH9_BD2,3,2.0,2.0,210,4,"[8, 10, 11, 12, 13]",[2],1791.14,179114.43,374,45.72,1.75,12.42,0.3058,13
R5_RR2.5_SL2.5_TE210_CD4_BH913_BDnone,5,2.5,2.5,210,4,"[8, 10, 11, 12]",[],1783.57,178357.08,339,44.84,1.69,19.2,0.2483,12
R5_RR3.5_SL2.5_TE0_CD2_BH913_BD2,5,3.5,2.5,0,2,"[8, 10, 11, 12]",[2],1779.07,177906.9,301,30.23,1.61,22.9,0.3405,14
R3_RR2.5_SL2.0_TE360_CD2_BH9_BD24,3,2.5,2.0,360,2,"[8, 10, 11, 12, 13]","[2, 4]",1778.38,177838.29,287,41.81,2.0,15.99,0.4059,11
R7_RR3.5_SL2.5_TE0_CD4_BH913_BDnone,7,3.5,2.5,0,4,"[8, 10, 11, 12]",[],1759.47,175947.47,339,29.5,1.39,35.0,0.2859,16
R3_RR3.5_SL2.0_TE360_CD0_BH913_BD24,3,3.5,2.0,360,0,"[8, 10, 11, 12]","[2, 4]",1752.13,175212.57,231,35.93,2.32,8.34,0.5311,13
R5_RR2.0_SL1.5_TE120_CD2_BH89_BD2,5,2.0,1.5,120,2,"[10, 11, 12, 13]",[2],1746.3,174629.75,312,46.79,1.64,17.32,0.2248,9
R5_RR2.0_SL2.0_TE360_CD2_BH913_BDnone,5,2.0,2.0,360,2,"[8, 10, 11, 12]",[],1744.96,174496.03,361,42.94,1.6,15.28,0.2289,16
R5_RR2.5_SL1.5_TE0_CD4_BH913_BDnone,5,2.5,1.5,0,4,"[8, 10, 11, 12]",[],1741.82,174181.72,351,37.32,1.68,14.64,0.2466,18
R5_RR2.0_SL2.0_TE210_CD0_BH9_BD24,5,2.0,2.0,210,0,"[8, 10, 11, 12, 13]","[2, 4]",1739.54,173953.56,293,45.39,1.65,26.19,0.2547,10
R3_RR3.5_SL1.5_TE0_CD0_BH913_BD24,3,3.5,1.5,0,0,"[8, 10, 11, 12]","[2, 4]",1739.27,173926.96,231,35.5,2.51,9.31,0.531,18
R5_RR2.0_SL2.0_TE360_CD0_BH913_BD2,5,2.0,2.0,360,0,"[8, 10, 11, 12]",[2],1738.8,173880.02,313,43.77,1.77,14.7,0.2589,15
R5_RR2.5_SL1.5_TE210_CD4_BH913_BD2,5,2.5,1.5,210,4,"[8, 10, 11, 12]",[2],1738.35,173834.79,300,39.33,1.94,14.29,0.2783,13
R5_RR3.5_SL2.5_TE0_CD4_BH913_BDnone,5,3.5,2.5,0,4,"[8, 10, 11, 12]",[],1737.9,173789.58,339,29.5,1.48,30.05,0.3045,16
R5_RR2.5_SL1.5_TE0_CD4_BHnone_BD2,5,2.5,1.5,0,4,all,[2],1734.48,173447.91,438,35.39,1.7,14.94,0.216,20
R3_RR3.5_SL2.0_TE0_CD2_BH913_BD24,3,3.5,2.0,0,2,"[8, 10, 11, 12]","[2, 4]",1720.68,172067.87,226,34.96,2.29,8.52,0.5416,13
R5_RR3.0_SL2.5_TE210_CD2_BH913_BDnone,5,3.0,2.5,210,2,"[8, 10, 11, 12]",[],1718.26,171826.49,352,43.75,1.75,17.28,0.2493,12
R3_RR3.5_SL1.5_TE210_CD4_BH913_BDnone,3,3.5,1.5,210,4,"[8, 10, 11, 12]",[],1710.59,171058.87,349,34.67,1.94,10.6,0.3611,15
R7_RR3.0_SL2.0_TE120_CD4_BHnone_BD24,7,3.0,2.0,120,4,all,"[2, 4]",1709.77,170977.09,326,44.48,1.5,29.3,0.195,11
R5_RR2.5_SL1.5_TE360_CD0_BH913_BDnone,5,2.5,1.5,360,0,"[8, 10, 11, 12]",[],1686.55,168655.11,366,37.16,1.61,16.37,0.2366,18
R5_RR2.5_SL2.5_TE120_CD2_BH9_BD2,5,2.5,2.5,120,2,"[8, 10, 11, 12, 13]",[2],1685.08,168507.63,382,49.21,1.51,22.16,0.2067,12
R5_RR2.5_SL2.5_TE210_CD2_BH913_BD2,5,2.5,2.5,210,2,"[8, 10, 11, 12]",[2],1674.4,167439.61,301,44.85,1.76,18.15,0.2699,12
R3_RR3.0_SL1.5_TE0_CD2_BH913_BDnone,3,3.0,1.5,0,2,"[8, 10, 11, 12]",[],1669.65,166964.5,360,34.44,1.8,12.73,0.3413,18
R3_RR3.0_SL1.5_TE0_CD4_BH913_BD2,3,3.0,1.5,0,4,"[8, 10, 11, 12]",[2],1669.47,166946.51,298,35.91,2.07,13.23,0.401,16
R5_RR2.0_SL2.0_TE0_CD4_BH913_BDnone,5,2.0,2.0,0,4,"[8, 10, 11, 12]",[],1668.92,166891.56,353,42.78,1.62,13.36,0.2329,16
R3_RR2.5_SL2.0_TE360_CD0_BH913_BD2,3,2.5,2.0,360,0,"[8, 10, 11, 12]",[2],1663.18,166318.49,313,40.58,2.07,12.24,0.3792,15
R5_RR2.0_SL1.5_TE210_CD0_BH9_BD24,5,2.0,1.5,210,0,"[8, 10, 11, 12, 13]","[2, 4]",1657.43,165742.91,293,44.71,1.73,26.71,0.2483,12
R7_RR2.5_SL1.5_TE210_CD4_BHnone_BD24,7,2.5,1.5,210,4,all,"[2, 4]",1655.01,165500.57,325,37.54,1.68,25.38,0.2205,14
R5_RR2.5_SL2.0_TE120_CD4_BH89_BDnone,5,2.5,2.0,120,4,"[10, 11, 12, 13]",[],1640.41,164041.16,360,47.22,1.46,23.48,0.2108,11
R7_RR2.0_SL1.5_TE120_CD2_BH9_BD24,7,2.0,1.5,120,2,"[8, 10, 11, 12, 13]","[2, 4]",1639.0,163900.07,286,47.55,1.65,27.8,0.1838,11
R5_RR2.5_SL1.5_TE0_CD0_BH913_BDnone,5,2.5,1.5,0,0,"[8, 10, 11, 12]",[],1634.17,163416.97,366,36.89,1.61,16.21,0.2362,18
R3_RR2.0_SL2.0_TE0_CD2_BH9_BDnone,3,2.0,2.0,0,2,"[8, 10, 11, 12, 13]",[],1625.64,162564.02,459,42.7,1.54,14.4,0.2518,17
R7_RR2.0_SL1.5_TE120_CD4_BH9_BD24,7,2.0,1.5,120,4,"[8, 10, 11, 12, 13]","[2, 4]",1623.41,162341.24,282,47.52,1.65,28.0,0.1866,11
R7_RR3.5_SL2.5_TE0_CD4_BH89_BD24,7,3.5,2.5,0,4,"[10, 11, 12, 13]","[2, 4]",1608.47,160846.53,212,30.66,1.47,35.41,0.3561,13
R3_RR2.5_SL1.5_TE210_CD2_BH9_BD2,3,2.5,1.5,210,2,"[8, 10, 11, 12, 13]",[2],1601.49,160149.03,382,39.01,1.78,13.76,0.3022,15
R5_RR2.5_SL1.5_TE210_CD2_BH913_BDnone,5,2.5,1.5,210,2,"[8, 10, 11, 12]",[],1589.48,158947.98,360,37.78,1.64,15.24,0.2348,15
R5_RR3.0_SL2.5_TE360_CD0_BHnone_BDnone,5,3.0,2.5,360,0,all,[],1579.16,157916.45,573,32.46,1.31,35.98,0.2106,23
R7_RR2.0_SL1.5_TE360_CD4_BHnone_BD2,7,2.0,1.5,360,4,all,[2],1570.2,157020.11,439,39.41,1.51,18.53,0.1681,15
R5_RR2.5_SL2.5_TE0_CD2_BH9_BD24,5,2.5,2.5,0,2,"[8, 10, 11, 12, 13]","[2, 4]",1563.44,156344.27,281,37.72,1.54,27.23,0.2927,11
R3_RR3.0_SL1.5_TE210_CD0_BH89_BD24,3,3.0,1.5,210,0,"[10, 11, 12, 13]","[2, 4]",1561.52,156152.09,229,41.05,1.96,20.04,0.4726,10
R5_RR2.0_SL2.0_TE360_CD4_BHnone_BD24,5,2.0,2.0,360,4,all,"[2, 4]",1553.33,155332.64,324,42.9,1.55,24.02,0.2357,12
R3_RR3.0_SL1.5_TE120_CD2_BH9_BD2,3,3.0,1.5,120,2,"[8, 10, 11, 12, 13]",[2],1549.13,154912.61,386,42.49,1.83,14.21,0.299,15
R7_RR2.0_SL1.5_TE0_CD0_BH913_BDnone,7,2.0,1.5,0,0,"[8, 10, 11, 12]",[],1537.96,153796.01,366,41.53,1.47,24.9,0.1798,16
R5_RR2.5_SL2.0_TE120_CD0_BH913_BD2,5,2.5,2.0,120,0,"[8, 10, 11, 12]",[2],1526.82,152681.9,313,46.96,1.8,13.73,0.2479,12
R5_RR3.0_SL2.5_TE210_CD0_BH913_BD2,5,3.0,2.5,210,0,"[8, 10, 11, 12]",[2],1515.16,151516.0,313,43.77,1.8,17.49,0.268,12
R3_RR2.5_SL2.0_TE0_CD0_BH9_BD24,3,2.5,2.0,0,0,"[8, 10, 11, 12, 13]","[2, 4]",1511.51,151150.51,293,40.27,1.95,16.41,0.3838,11
R3_RR3.0_SL1.5_TE0_CD2_BHnone_BDnone,3,3.0,1.5,0,2,all,[],1507.47,150746.53,545,31.38,1.56,14.0,0.2388,26
R7_RR3.0_SL1.5_TE210_CD0_BHnone_BDnone,7,3.0,1.5,210,0,all,[],1494.56,149456.31,573,31.94,1.35,23.32,0.1899,26
R5_RR3.0_SL1.5_TE120_CD0_BH913_BD24,5,3.0,1.5,120,0,"[8, 10, 11, 12]","[2, 4]",1482.18,148217.72,231,46.32,2.06,15.46,0.3145,10
R7_RR2.5_SL2.5_TE0_CD4_BH913_BD24,7,2.5,2.5,0,4,"[8, 10, 11, 12]","[2, 4]",1471.35,147134.91,215,38.14,1.52,23.76,0.3036,12
R7_RR2.0_SL1.5_TE0_CD2_BHnone_BD2,7,2.0,1.5,0,2,all,[2],1470.46,147045.95,458,38.86,1.45,21.3,0.1607,16
R3_RR3.5_SL2.5_TE360_CD4_BHnone_BDnone,3,3.5,2.5,360,4,all,[],1457.78,145778.44,515,31.84,1.52,24.67,0.2699,18
R3_RR3.0_SL1.5_TE0_CD4_BHnone_BDnone,3,3.0,1.5,0,4,all,[],1429.65,142964.78,522,31.42,1.57,14.24,0.2425,25
R3_RR3.5_SL1.5_TE0_CD4_BH913_BD24,3,3.5,1.5,0,4,"[8, 10, 11, 12]","[2, 4]",1417.79,141778.67,222,34.68,2.39,9.46,0.5208,18
R5_RR2.5_SL1.5_TE0_CD0_BH913_BD24,5,2.5,1.5,0,0,"[8, 10, 11, 12]","[2, 4]",1417.32,141731.89,231,40.26,1.88,15.11,0.3231,13
R7_RR2.5_SL2.0_TE120_CD4_BH89_BD24,7,2.5,2.0,120,4,"[10, 11, 12, 13]","[2, 4]",1412.94,141294.31,219,50.68,1.61,31.27,0.2297,10
R7_RR2.0_SL1.5_TE120_CD0_BH913_BD24,7,2.0,1.5,120,0,"[8, 10, 11, 12]","[2, 4]",1405.52,140552.22,231,49.35,1.76,18.26,0.2238,10
R5_RR3.0_SL2.0_TE120_CD2_BHnone_BD24,5,3.0,2.0,120,2,all,"[2, 4]",1404.05,140404.66,338,44.38,1.52,26.69,0.2266,11
R7_RR3.0_SL1.5_TE210_CD2_BHnone_BDnone,7,3.0,1.5,210,2,all,[],1400.39,140038.57,544,32.17,1.41,18.73,0.199,26
R3_RR2.5_SL2.5_TE0_CD4_BHnone_BDnone,3,2.5,2.5,0,4,all,[],1392.31,139231.16,515,35.73,1.48,19.96,0.2436,16
R7_RR2.0_SL1.5_TE210_CD4_BH913_BDnone,7,2.0,1.5,210,4,"[8, 10, 11, 12]",[],1389.16,138916.41,351,41.88,1.52,20.29,0.1855,15
R7_RR3.0_SL2.0_TE120_CD4_BH89_BD24,7,3.0,2.0,120,4,"[10, 11, 12, 13]","[2, 4]",1388.7,138870.29,219,50.23,1.58,31.47,0.2309,10
R3_RR2.5_SL2.0_TE0_CD2_BH89_BDnone,3,2.5,2.0,0,2,"[10, 11, 12, 13]",[],1381.44,138144.07,370,37.84,1.5,14.77,0.3027,12
R7_RR2.5_SL2.5_TE210_CD0_BH913_BD24,7,2.5,2.5,210,0,"[8, 10, 11, 12]","[2, 4]",1380.31,138031.26,231,45.02,1.71,17.59,0.2659,10
R7_RR2.0_SL1.5_TE360_CD4_BHnone_BDnone,7,2.0,1.5,360,4,all,[],1356.84,135683.79,525,39.05,1.31,29.97,0.1427,18
R7_RR3.0_SL2.5_TE120_CD2_BH913_BD2,7,3.0,2.5,120,2,"[8, 10, 11, 12]",[2],1355.39,135538.99,301,49.83,1.59,18.25,0.2008,10
R3_RR3.5_SL2.5_TE360_CD4_BH913_BDnone,3,3.5,2.5,360,4,"[8, 10, 11, 12]",[],1348.83,134882.8,339,33.92,1.74,17.18,0.3616,16
R5_RR2.0_SL1.5_TE0_CD2_BH913_BD2,5,2.0,1.5,0,2,"[8, 10, 11, 12]",[2],1337.18,133718.48,308,42.53,1.65,19.68,0.2353,15
R7_RR2.0_SL1.5_TE0_CD0_BHnone_BDnone,7,2.0,1.5,0,0,all,[],1336.87,133687.31,573,38.05,1.25,41.0,0.1306,19
R5_RR2.5_SL2.5_TE360_CD4_BH913_BD24,5,2.5,2.5,360,4,"[8, 10, 11, 12]","[2, 4]",1328.07,132806.52,215,40.0,1.64,18.69,0.3463,12
R7_RR3.5_SL2.5_TE210_CD0_BH913_BD2,7,3.5,2.5,210,0,"[8, 10, 11, 12]",[2],1317.06,131706.16,313,42.81,1.74,16.35,0.2565,12
R3_RR2.5_SL1.5_TE360_CD4_BH9_BD24,3,2.5,1.5,360,4,"[8, 10, 11, 12, 13]","[2, 4]",1309.99,130999.43,280,40.71,1.87,21.05,0.3746,12
R3_RR3.0_SL2.0_TE360_CD4_BH89_BD24,3,3.0,2.0,360,4,"[10, 11, 12, 13]","[2, 4]",1304.62,130462.2,217,38.71,1.82,17.99,0.4876,9
R5_RR2.0_SL2.0_TE120_CD2_BH89_BDnone,5,2.0,2.0,120,2,"[10, 11, 12, 13]",[],1303.7,130369.88,374,48.13,1.34,27.52,0.1838,11
R5_RR2.0_SL2.5_TE0_CD2_BH89_BD24,5,2.0,2.5,0,2,"[10, 11, 12, 13]","[2, 4]",1300.0,130000.31,219,44.29,1.61,27.81,0.3166,9
R3_RR3.0_SL2.0_TE120_CD4_BH9_BDnone,3,3.0,2.0,120,4,"[8, 10, 11, 12, 13]",[],1299.42,129942.17,449,45.88,1.57,17.54,0.247,16
R3_RR3.0_SL1.5_TE210_CD0_BHnone_BD24,3,3.0,1.5,210,0,all,"[2, 4]",1298.64,129863.84,355,35.77,1.73,16.19,0.3168,16
R5_RR2.5_SL2.5_TE210_CD2_BHnone_BD2,5,2.5,2.5,210,2,all,[2],1292.93,129293.06,453,40.18,1.45,18.79,0.205,14
R3_RR3.5_SL2.0_TE120_CD4_BH9_BDnone,3,3.5,2.0,120,4,"[8, 10, 11, 12, 13]",[],1271.93,127193.47,449,45.43,1.53,18.52,0.2474,16
R3_RR3.5_SL2.5_TE0_CD4_BH89_BDnone,3,3.5,2.5,0,4,"[10, 11, 12, 13]",[],1262.25,126225.42,351,30.48,1.41,24.21,0.3423,14
R7_RR2.0_SL2.5_TE120_CD4_BH9_BD24,7,2.0,2.5,120,4,"[8, 10, 11, 12, 13]","[2, 4]",1254.84,125483.53,277,51.62,1.5,32.6,0.1964,9
R7_RR3.0_SL2.0_TE120_CD0_BH89_BD24,7,3.0,2.0,120,0,"[10, 11, 12, 13]","[2, 4]",1226.33,122632.75,229,48.91,1.52,32.98,0.221,10
R5_RR2.0_SL1.5_TE120_CD4_BH89_BD24,5,2.0,1.5,120,4,"[10, 11, 12, 13]","[2, 4]",1220.51,122051.26,220,50.0,1.69,28.14,0.2741,10
R5_RR2.0_SL1.5_TE0_CD2_BH913_BD24,5,2.0,1.5,0,2,"[8, 10, 11, 12]","[2, 4]",1204.13,120412.79,228,45.18,1.81,16.3,0.2874,11
R5_RR2.0_SL1.5_TE210_CD2_BH913_BD2,5,2.0,1.5,210,2,"[8, 10, 11, 12]",[2],1202.91,120290.78,308,42.53,1.64,19.86,0.2313,15
R5_RR2.5_SL1.5_TE0_CD2_BHnone_BDnone,5,2.5,1.5,0,2,all,[],1198.79,119879.19,545,33.94,1.4,18.99,0.1784,27
R3_RR2.5_SL1.5_TE120_CD4_BH9_BD2,3,2.5,1.5,120,4,"[8, 10, 11, 12, 13]",[2],1188.16,118816.08,378,43.65,1.75,14.99,0.2749,15
R3_RR2.0_SL1.5_TE0_CD0_BH9_BDnone,3,2.0,1.5,0,0,"[8, 10, 11, 12, 13]",[],1186.37,118636.56,470,41.28,1.46,22.65,0.2211,19
R5_RR2.0_SL1.5_TE0_CD4_BH913_BD24,5,2.0,1.5,0,4,"[8, 10, 11, 12]","[2, 4]",1181.26,118126.42,224,45.09,1.83,16.32,0.2909,11
R5_RR2.0_SL2.0_TE0_CD4_BH913_BD24,5,2.0,2.0,0,4,"[8, 10, 11, 12]","[2, 4]",1160.8,116080.27,225,44.89,1.78,14.27,0.3051,12
R3_RR3.0_SL1.5_TE210_CD0_BH913_BDnone,3,3.0,1.5,210,0,"[8, 10, 11, 12]",[],1160.22,116022.26,366,35.25,1.69,15.24,0.3048,15
R5_RR2.5_SL2.5_TE210_CD0_BH9_BD24,5,2.5,2.5,210,0,"[8, 10, 11, 12, 13]","[2, 4]",1157.71,115771.01,293,42.66,1.56,27.84,0.2577,12
R3_RR2.5_SL2.0_TE120_CD0_BH9_BD2,3,2.5,2.0,120,0,"[8, 10, 11, 12, 13]",[2],1155.95,115595.28,396,46.21,1.64,14.09,0.2619,14
R3_RR3.0_SL1.5_TE210_CD0_BH913_BD24,3,3.0,1.5,210,0,"[8, 10, 11, 12]","[2, 4]",1141.48,114147.98,231,39.83,2.17,10.51,0.4428,10
R3_RR3.5_SL1.5_TE120_CD4_BH89_BDnone,3,3.5,1.5,120,4,"[10, 11, 12, 13]",[],1137.19,113719.35,359,42.34,1.57,21.69,0.29,12
R5_RR3.5_SL2.5_TE120_CD2_BH89_BD2,5,3.5,2.5,120,2,"[10, 11, 12, 13]",[2],1131.97,113197.13,308,50.65,1.42,29.51,0.2213,9
R7_RR3.0_SL2.5_TE360_CD2_BHnone_BD2,7,3.0,2.5,360,2,all,[2],1130.1,113010.3,454,32.82,1.29,39.26,0.2321,17
R7_RR2.5_SL2.5_TE120_CD0_BH913_BD2,7,2.5,2.5,120,0,"[8, 10, 11, 12]",[2],1122.35,112234.92,313,49.52,1.54,18.71,0.1902,12
R7_RR2.5_SL2.5_TE120_CD4_BH9_BDnone,7,2.5,2.5,120,4,"[8, 10, 11, 12, 13]",[],1108.61,110861.12,442,48.42,1.31,33.12,0.1546,15
R5_RR2.0_SL1.5_TE210_CD4_BHnone_BD24,5,2.0,1.5,210,4,all,"[2, 4]",1094.52,109452.04,327,41.59,1.57,26.59,0.2143,13
R5_RR3.0_SL2.5_TE210_CD2_BHnone_BD2,5,3.0,2.5,210,2,all,[2],1084.93,108492.84,453,39.29,1.43,29.8,0.2106,14
R3_RR3.0_SL2.0_TE210_CD0_BH9_BD24,3,3.0,2.0,210,0,"[8, 10, 11, 12, 13]","[2, 4]",1083.9,108390.06,293,39.59,1.78,18.23,0.3517,12
R3_RR2.5_SL1.5_TE360_CD2_BH913_BDnone,3,2.5,1.5,360,2,"[8, 10, 11, 12]",[],1082.6,108260.49,360,37.5,1.66,14.81,0.2919,18
R3_RR2.5_SL1.5_TE360_CD4_BH913_BDnone,3,2.5,1.5,360,4,"[8, 10, 11, 12]",[],1079.71,107970.67,351,37.61,1.69,13.56,0.2984,18
R3_RR2.0_SL1.5_TE0_CD0_BH9_BD2,3,2.0,1.5,0,0,"[8, 10, 11, 12, 13]",[2],1079.2,107919.84,396,41.92,1.56,22.45,0.2515,16
R5_RR2.5_SL1.5_TE120_CD4_BH913_BD24,5,2.5,1.5,120,4,"[8, 10, 11, 12]","[2, 4]",1071.35,107135.25,224,46.88,1.91,17.03,0.2897,10
R3_RR2.5_SL2.0_TE210_CD0_BH9_BD24,3,2.5,2.0,210,0,"[8, 10, 11, 12, 13]","[2, 4]",1070.8,107080.03,293,42.32,1.79,18.43,0.342,10
R3_RR3.5_SL1.5_TE120_CD0_BH89_BDnone,3,3.5,1.5,120,0,"[10, 11, 12, 13]",[],1069.13,106912.51,380,41.58,1.52,21.87,0.2716,12
R3_RR3.0_SL2.5_TE210_CD4_BH9_BD2,3,3.0,2.5,210,4,"[8, 10, 11, 12, 13]",[2],1057.35,105734.92,362,42.27,1.69,19.18,0.2939,12
R3_RR2.5_SL1.5_TE360_CD0_BHnone_BD24,3,2.5,1.5,360,0,all,"[2, 4]",1056.65,105665.02,355,37.46,1.66,17.54,0.2888,16
R3_RR3.0_SL2.0_TE0_CD2_BHnone_BD24,3,3.0,2.0,0,2,all,"[2, 4]",1053.53,105353.47,335,33.73,1.71,18.39,0.3288,17
R5_RR2.0_SL2.0_TE210_CD0_BH913_BD24,5,2.0,2.0,210,0,"[8, 10, 11, 12]","[2, 4]",1044.15,104415.43,231,45.89,1.78,13.35,0.2803,10
R3_RR2.5_SL1.5_TE0_CD4_BH913_BDnone,3,2.5,1.5,0,4,"[8, 10, 11, 12]",[],1036.65,103664.72,351,37.32,1.68,13.49,0.2954,18
